State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Flow(%),Unemployment Rate(%),1 Bed Average,2 Bed Average,Highest Marginal Income Tax Rate (%),Median Home Price 2017
WV,Pendleton County,2696,120750,101,3291,92,3452,-9,-0.334,3.8,503,644,6.5,111409
KY,Gallatin County,2696,138815,245,9226,277,11597,32,1.187,4.1,691,908,5.0,118551
MN,Lac qui Parle County,2693,173083,122,5636,101,4597,-21,-0.78,3.6,545,697,9.85,87356
IA,Monroe County,2692,147405,140,5087,171,7694,31,1.152,2.9,520,692,8.53,104666
KY,Leslie County,2689,117014,112,3388,76,1899,-36,-1.339,7.1,493,620,5.0,51550
WV,Tucker County,2688,128680,121,3992,126,5487,5,0.186,5.5,560,666,6.5,107692
SD,Hutchinson County,2687,154240,145,6565,153,7087,8,0.298,2.8,517,687,0.0,84889
NE,Pierce County,2685,163020,155,6133,146,6290,-9,-0.335,2.6,569,653,6.84,108701
NC,Graham County,2681,120013,137,4699,120,5559,-17,-0.634,5.9,529,697,5.25,133549
CA,Modoc County,2679,132071,210,12508,174,7340,-36,-1.344,7.5,533,697,12.3,152797
KY,Ballard County,2676,148860,159,6861,147,5792,-12,-0.448,6.9,514,683,5.0,108160
IA,Ida County,2670,191511,151,6615,151,6344,0,0.0,2.0,546,650,8.53,97062
GA,Twiggs County,2669,114839,236,8414,213,7155,-23,-0.862,5.9,749,860,5.75,60335
GA,Charlton County,2659,124673,203,6681,255,9609,52,1.956,4.3,560,709,5.75,87492
MS,Claiborne County,2652,88601,165,5338,128,5350,-37,-1.395,9.2,531,706,5.0,63032
TX,Presidio County,2646,124868,244,10915,147,7088,-97,-3.666,7.0,607,697,0.0,54457
IA,Pocahontas County,2645,152709,194,7460,134,5902,-60,-2.268,1.8,534,650,8.53,77523
WY,Crook County,2632,211522,180,9063,215,11179,35,1.33,3.2,623,828,0.0,228857
SD,Fall River County,2618,139073,213,8588,291,12259,78,2.979,3.9,611,745,0.0,121851
GA,Turner County,2613,109619,157,4667,182,5715,25,0.957,5.1,520,659,5.75,77380
IN,Union County,2611,132093,208,6899,167,6645,-41,-1.57,3.1,637,751,3.23,118127
KS,Doniphan County,2608,147657,170,6073,156,5476,-14,-0.537,3.5,621,797,5.7,106624
TN,Houston County,2604,131281,163,5592,194,6964,31,1.19,5.5,572,657,0.0,103318
AR,Prairie County,2604,134426,173,6064,130,4795,-43,-1.651,3.9,476,633,6.9,68054
IL,Henderson County,2603,136749,139,5309,124,5427,-15,-0.576,5.0,546,716,4.95,90008
MS,Choctaw County,2591,118933,159,5628,171,7125,12,0.463,4.8,528,661,5.0,79772
WV,Pleasants County,2587,160122,117,4511,96,3660,-21,-0.812,6.4,614,730,6.5,104524
OK,Kiowa County,2584,109800,182,5360,152,5940,-30,-1.161,4.2,524,697,5.0,63903
MS,Humphreys County,2581,96740,166,4885,111,2974,-55,-2.131,8.4,598,688,5.0,66339
GA,Lincoln County,2576,135708,136,5324,179,9695,43,1.669,5.0,574,659,5.75,123042
AZ,Greenlee County,2575,159682,252,16302,218,10433,-34,-1.32,4.3,547,722,4.54,91748
OK,Major County,2574,175714,172,9129,114,6100,-58,-2.253,2.1,549,730,5.0,96110
AR,Nevada County,2569,111617,213,7568,176,5651,-37,-1.44,3.5,506,673,6.9,65344
ND,Bottineau County,2559,168568,142,8993,96,5989,-46,-1.798,3.3,528,697,2.9,143030
IL,Schuyler County,2551,142299,159,5788,120,4709,-39,-1.529,4.5,537,670,4.95,85206
KS,Russell County,2549,120326,144,5440,144,4981,0,0.0,3.0,571,760,5.7,92989
AL,Greene County,2549,95056,135,4423,144,4688,9,0.353,6.7,483,606,5.0,71073
CO,Kit Carson County,2541,100401,178,7257,193,9878,15,0.59,2.0,556,717,4.63,145414
WI,Iron County,2538,132850,133,4832,169,9632,36,1.418,5.8,542,689,7.65,115054
IA,Fremont County,2528,155351,157,6639,176,7470,19,0.752,1.9,489,650,8.53,105828
MN,Wilkin County,2526,158424,166,7999,160,6477,-6,-0.238,3.0,524,697,9.85,123225
KS,Wabaunsee County,2517,151395,137,6503,149,7746,12,0.477,3.2,628,832,5.7,117060
NE,Burt County,2516,142394,126,4677,154,5687,28,1.113,3.3,535,711,6.84,97047
IA,Van Buren County,2511,133071,173,6285,128,6023,-45,-1.792,2.7,522,650,8.53,87345
