,State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
1147,MI,Muskegon County ,62076,3380386,3080,134139,3290,159541,210,0.33799999999999997
838,MO,Monroe County ,3061,149896,212,8282,233,8045,21,0.6859999999999999
1404,UT,Summit County ,16159,2829031,1808,195138,1823,433590,15,0.09300000000000001
1653,NE,Nuckolls County ,1636,82817,63,3118,61,2879,-2,-0.122
2373,MN,Steele County ,14653,983468,920,43420,800,39708,-120,-0.8190000000000001
2149,GA,Troup County ,21622,1169648,1597,72192,1469,64312,-128,-0.5920000000000001
1218,MD,Washington County ,54762,3554116,3437,171845,3586,180535,149,0.272
1422,IL,Hardin County ,1259,65745,43,1256,44,1296,1,0.079
2822,CO,Conejos County ,2374,100926,163,6645,120,4579,-43,-1.811
1427,MT,Gallatin County ,42110,3616117,4842,247903,4874,308232,32,0.076
990,OR,Baker County ,5565,274088,369,15241,398,17750,29,0.521
2362,IA,Greene County ,3378,191512,190,8535,163,6470,-27,-0.799
86,DE,Sussex County ,86538,6020015,4318,233772,7045,611792,2727,3.1510000000000002
1003,KS,Jewell County ,1196,54306,41,1104,47,1607,6,0.502
622,TX,Eastland County ,5624,193997,413,19282,471,19092,58,1.031
1666,IN,Elkhart County ,73857,5229975,4043,220939,3940,191600,-103,-0.139
818,VA,Isle of Wight County ,13612,1065565,1247,72982,1343,94258,96,0.705
2986,TX,Aransas County ,7444,475260,1341,65855,963,59823,-378,-5.078
2036,UT,Duchesne County ,5635,359252,404,18337,377,17038,-27,-0.479
1163,TX,Bexar County ,674412,44427764,38604,2387824,40760,2308578,2156,0.32
2974,SD,Campbell County ,585,31215,20,1294,-1,-1,-21,-3.59
641,NE,Sarpy County ,64713,5416264,6982,415062,7627,426080,645,0.997
172,TX,Hays County ,66538,5433993,8172,415538,9807,710893,1635,2.457
2408,SD,Potter County ,931,62577,38,1630,30,1304,-8,-0.8590000000000001
2951,SD,Clay County ,3874,257087,564,24143,451,19630,-113,-2.917
895,MN,Crow Wing County ,24712,1580842,1638,84283,1794,115102,156,0.631
2517,NC,Bertie County ,6102,303139,365,11693,303,9801,-62,-1.016
1248,SD,Deuel County ,1663,93003,62,3969,66,3433,4,0.24100000000000002
2984,KS,Phillips County ,2095,98592,150,5897,59,2057,-91,-4.343999999999999
950,GA,Fulton County ,373518,44050557,46808,3543949,48914,3813753,2106,0.564
3000,TX,Borden County ,210,19915,20,1114,-1,-1,-21,-10.0
1808,MS,Marshall County ,11508,495605,921,35213,889,35102,-32,-0.278
1096,GA,Brantley County ,4901,222414,355,11639,374,12369,19,0.38799999999999996
