State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
TX,Hamilton County,2729,192170,227,10830,280,12606,53,1.942
TX,Denton County,274749,28174824,30734,2281370,36068,2711365,5334,1.941
TX,Midland County,55303,8083422,5550,548096,6623,580266,1073,1.94
TX,Henderson County,25311,1399681,2156,92303,2645,148778,489,1.932
VA,Nelson County,5858,396681,330,20937,443,31269,113,1.929
OR,Columbia County,18175,1243566,1276,70088,1626,87082,350,1.926
TN,Benton County,5249,243342,292,10843,393,14410,101,1.924
WI,Marquette County,6188,321174,449,16037,568,28527,119,1.923
CO,Washington County,1511,75568,75,3256,104,3863,29,1.919
MO,Christian County,28261,1918834,2819,159229,3361,194223,542,1.918
WA,Cowlitz County,37276,2397427,2567,127460,3282,176755,715,1.918
VA,Westmoreland County,6622,385728,557,30260,684,47327,127,1.918
FL,Highlands County,32767,1503479,2539,97897,3167,139563,628,1.917
NV,Clark County,796439,57282761,38284,2175811,53538,3777011,15254,1.915
ID,Jefferson County,8202,498217,795,40006,951,55123,156,1.902
MT,Sanders County,3944,178351,288,12109,363,19335,75,1.902
TX,Lynn County,1846,110279,135,5526,170,12307,35,1.896
MN,Cass County,11027,655216,889,45549,1098,73490,209,1.895
TX,Concho County,740,33282,81,3468,95,6981,14,1.892
IN,Hamilton County,115104,15313766,9773,836451,11945,1018223,2172,1.887
MT,Lincoln County,6468,312603,449,19442,571,29008,122,1.886
TX,Burleson County,6173,380228,423,18504,539,28589,116,1.879
GA,Morgan County,6401,452406,455,27849,575,37985,120,1.875
TN,Hickman County,7418,361856,591,22046,730,28407,139,1.874
NC,Ashe County,9059,459899,420,20217,589,31975,169,1.866
WA,Thurston County,105491,7898212,9194,518352,11152,619428,1958,1.856
OK,Dewey County,1563,121172,111,6624,140,6178,29,1.855
NC,Union County,73743,7189462,5304,417851,6665,657435,1361,1.846
WA,Stevens County,14607,873343,1145,54498,1414,79971,269,1.842
TX,Culberson County,761,34864,53,2141,67,3150,14,1.84
GA,Henry County,73572,4651381,8198,401287,9552,411315,1354,1.84
CO,Elbert County,8920,987976,987,71000,1151,95840,164,1.839
NC,Camden County,3484,235011,305,16831,369,17993,64,1.837
OR,Jefferson County,7305,371087,619,24601,753,36410,134,1.834
FL,Volusia County,196530,11358882,13728,623525,17323,991763,3595,1.829
TX,Grayson County,44243,2883191,3100,158430,3906,226436,806,1.822
TX,Bosque County,5926,344886,498,27785,606,29238,108,1.822
KS,Lane County,660,28969,28,1268,40,1423,12,1.818
SC,Oconee County,26050,1735489,1513,91590,1984,149189,471,1.808
VA,Middlesex County,4094,274067,256,13445,330,20703,74,1.808
MT,Flathead County,38918,2650198,2324,101775,3025,194175,701,1.801
VA,Mathews County,3354,231619,199,9873,259,17047,60,1.789
UT,Beaver County,2020,111672,125,5549,161,6736,36,1.782
TN,Van Buren County,1805,79582,127,6407,159,6741,32,1.773
CA,Placer County,141595,15230760,11421,782704,13923,1180411,2502,1.767
GA,Lumpkin County,9059,556390,944,44058,1104,60446,160,1.766
OR,Sherman County,624,39854,36,1562,47,2057,11,1.763
GA,Putnam County,7156,440276,583,29167,709,61800,126,1.761
TX,Atascosa County,15613,902099,1219,54516,1494,66618,275,1.761
WY,Sublette County,3132,301278,236,15935,291,20228,55,1.756
