,State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
253,CO,Logan County ,6534,404700,478,49202,472,18814,-6,-0.0009182736455463728
254,CO,Mesa County ,54278,3604644,3527,175854,4179,228083,652,0.012012233317366151
255,CO,Mineral County ,324,21265,-1,-1,22,1256,23,0.07098765432098765
256,CO,Moffat County ,4363,276815,395,21833,403,17196,8,0.0018336007334402934
257,CO,Montezuma County ,9200,505907,693,30815,803,41881,110,0.011956521739130435
258,CO,Montrose County ,14668,847038,1070,48714,1323,74152,253,0.017248431960730844
259,CO,Morgan County ,9907,563325,686,31318,781,37270,95,0.009589179368123549
260,CO,Otero County ,5954,268394,409,16880,378,15130,-31,-0.0052065838092038965
261,CO,Ouray County ,1906,143792,199,18002,281,25546,82,0.04302203567681007
262,CO,Park County ,5762,415822,723,44826,968,66086,245,0.04251995834779591
263,CO,Phillips County ,1541,91989,109,4991,83,4060,-26,-0.016872160934458143
264,CO,Pitkin County ,7535,1117017,928,85488,832,181121,-96,-0.012740544127405442
265,CO,Prowers County ,3821,180931,234,9560,204,7013,-30,-0.007851347814708191
266,CO,Pueblo County ,55820,3204156,3146,143428,3752,160602,606,0.010856323898244357
267,CO,Rio Blanco County ,2054,138404,175,9920,162,8816,-13,-0.006329113924050633
268,CO,Rio Grande County ,4401,223056,377,15940,385,18403,8,0.0018177686889343332
269,CO,Routt County ,9940,1069506,1007,66256,1055,89085,48,0.00482897384305835
270,CO,Saguache County ,1471,56314,189,6763,237,9174,48,0.03263086335825969
271,CO,San Juan County ,269,12130,24,909,23,831,-1,-0.0037174721189591076
272,CO,San Miguel County ,3165,330137,381,31854,409,71277,28,0.008846761453396525
273,CO,Sedgwick County ,817,34667,30,1328,62,2056,32,0.03916768665850673
274,CO,Summit County ,12453,1178427,1892,118895,1787,184291,-105,-0.008431703204047217
275,CO,Teller County ,9097,642303,1141,63832,1294,98442,153,0.01681873144992855
276,CO,Washington County ,1511,75568,75,3256,104,3863,29,0.019192587690271344
277,CO,Weld County ,100674,7811951,8860,520398,11695,729652,2835,0.028160200250312892
278,CO,Yuma County ,3371,174806,214,8859,193,8539,-21,-0.006229605458320973
279,CT,Fairfield County ,357116,69375082,21235,3017316,17929,2869252,-3306,-0.009257496163711512
280,CT,Hartford County ,356776,31895948,19061,1470374,16087,1047692,-2974,-0.008335762495235105
281,CT,Litchfield County ,74812,6568851,4602,358868,4402,314180,-200,-0.0026733679088916215
282,CT,Middlesex County ,66080,6490994,4773,391128,4785,335377,12,0.00018159806295399514
283,CT,New Haven County ,329066,27034852,18310,1319340,16063,1020865,-2247,-0.0068284173995490265
284,CT,New London County ,107353,8825677,6941,453399,6076,366859,-865,-0.008057529831490504
285,CT,Tolland County ,53725,5035226,4538,320545,4270,258702,-268,-0.004988366682177757
286,CT,Windham County ,44083,2892033,2772,146251,2654,131072,-118,-0.0026767688224485628
287,DE,Kent County ,62826,3691655,4185,200693,4862,235413,677,0.010775793461305829
288,DE,New Castle County ,209473,17550167,11183,817252,11086,734691,-97,-0.0004630668391630425
289,DE,Sussex County ,86538,6020015,4318,233772,7045,611792,2727,0.031512168064896345
290,FL,Alachua County ,85305,5952208,8912,445746,7827,399171,-1085,-0.012719066877674228
291,FL,Baker County ,8193,458930,509,20413,638,29572,129,0.015745148297326986
292,FL,Bay County ,63483,3659030,7109,405104,5727,320155,-1382,-0.02176960761148654
293,FL,Bradford County ,7768,412975,616,24468,742,28602,126,0.016220391349124615
294,FL,Brevard County ,223514,14831323,13796,856882,16934,1147566,3138,0.014039389031559544
295,FL,Broward County ,720672,52494991,51238,3154298,48477,3387475,-2761,-0.00383114648550242
296,FL,Calhoun County ,3686,176866,290,10963,270,8858,-20,-0.005425935973955507
297,FL,Charlotte County ,65851,4186426,5791,300628,8144,614629,2353,0.035732183262213175
298,FL,Citrus County ,52220,2769914,3760,176255,5471,319564,1711,0.03276522405208732
299,FL,Clay County ,73883,4941020,7908,448768,8965,529836,1057,0.01430640336748643
300,FL,Collier County ,141277,20859061,10536,966864,12321,2727095,1785,0.012634753002965805
301,FL,Columbia County ,21202,1066727,1623,63483,1944,79545,321,0.015140081124422224
302,FL,DeSoto County ,9383,412472,791,30455,886,40435,95,0.010124693594799105
303,FL,Dixie County ,3833,158828,281,9659,378,13557,97,0.025306548395512652
304,FL,Duval County ,344842,22418910,26620,1543259,28682,1636159,2062,0.005979550054807709
305,FL,Escambia County ,109261,6607617,10171,516907,10211,563282,40,0.00036609586220151747
306,FL,Flagler County ,40791,2667645,3468,165139,4698,353956,1230,0.030153710377289106
307,FL,Franklin County ,3426,219195,209,16997,300,21491,91,0.026561587857559837
308,FL,Gadsden County ,15580,693817,1077,36610,1091,40002,14,0.0008985879332477536
309,FL,Gilchrist County ,5010,262981,460,16637,611,25273,151,0.030139720558882234
310,FL,Glades County ,3001,171193,373,14790,416,17369,43,0.01432855714761746
311,FL,Gulf County ,4223,257021,455,21783,434,30747,-21,-0.0049727681742836845
312,FL,Hamilton County ,3627,160764,256,7703,299,11016,43,0.011855527984560243
313,FL,Hardee County ,7530,333691,579,20545,499,18125,-80,-0.010624169986719787
314,FL,Hendry County ,12012,555928,1150,40697,1009,38173,-141,-0.011738261738261738
315,FL,Hernando County ,63180,3133865,5202,217213,7203,339444,2001,0.031671415004748335
316,FL,Highlands County ,32767,1503479,2539,97897,3167,139563,628,0.019165623950926237
317,FL,Hillsborough County ,497009,36158653,39799,2314898,43929,2724138,4130,0.008309708677307655
318,FL,Holmes County ,5118,228295,428,15004,461,19636,33,0.006447831184056272
319,FL,Indian River County ,59008,6043223,4170,254578,5750,707436,1580,0.026776030368763557
320,FL,Jackson County ,14204,688561,1015,35563,1018,38688,3,0.00021120811039143902
321,FL,Jefferson County ,4544,250563,352,14751,390,22139,38,0.008362676056338027
322,FL,Lafayette County ,1899,87460,152,4843,138,5136,-14,-0.00737230121116377
323,FL,Lake County ,125505,7498308,11203,535280,16295,956851,5092,0.040572088761403925
324,FL,Lee County ,267184,21814777,18787,1213264,24236,2365945,5449,0.020394185280555723
325,FL,Leon County ,93546,6558668,8667,397498,7786,372634,-881,-0.009417826523849229
