INTPTLAT,INTPTLNG,COUNTY NAME,USPS
33.262348,-84.284905,Spalding County,GA
34.552914,-83.290216,Stephens County,GA
32.073225,-84.834912,Stewart County,GA
32.042266,-84.204294,Sumter County,GA
32.704603,-84.530029,Talbot County,GA
33.559319,-82.875272,Taliaferro County,GA
32.043768,-82.059208,Tattnall County,GA
32.554667,-84.251426,Taylor County,GA
31.913641,-82.931063,Telfair County,GA
31.777191,-84.439446,Terrell County,GA
30.864619,-83.919815,Thomas County,GA
31.457003,-83.525931,Tift County,GA
32.117812,-82.330626,Toombs County,GA
34.902529,-83.732264,Towns County,GA
32.409586,-82.570882,Treutlen County,GA
33.034482,-85.02836,Troup County,GA
31.7248,-83.620319,Turner County,GA
32.665847,-83.425879,Twiggs County,GA
34.833333,-83.989257,Union County,GA
32.881837,-84.292283,Upson County,GA
34.735802,-85.305456,Walker County,GA
33.783887,-83.731829,Walton County,GA
31.050881,-82.421507,Ware County,GA
33.419169,-82.688012,Warren County,GA
32.971843,-82.798112,Washington County,GA
31.547845,-81.912376,Wayne County,GA
32.046691,-84.553828,Webster County,GA
32.105258,-82.733849,Wheeler County,GA
34.643776,-83.743417,White County,GA
34.801726,-84.968541,Whitfield County,GA
31.96272,-83.438259,Wilcox County,GA
33.779031,-82.747921,Wilkes County,GA
32.804266,-83.175512,Wilkinson County,GA
31.551773,-83.84996,Worth County,GA
19.597764,-155.502443,Hawaii County,HI
21.580023,-158.123406,Honolulu County,HI
21.218764,-156.97401,Kalawao County,HI
22.012038,-159.705965,Kauai County,HI
20.855931,-156.60155,Maui County,HI
43.451477,-116.244376,Ada County,ID
44.877004,-116.461624,Adams County,ID
42.692921,-112.228982,Bannock County,ID
42.285892,-111.327517,Bear Lake County,ID
47.218451,-116.633541,Benewah County,ID
43.216357,-112.399206,Bingham County,ID
43.394192,-113.955371,Blaine County,ID
43.987275,-115.71511,Boise County,ID
48.316796,-116.612364,Bonner County,ID
43.395171,-111.621878,Bonneville County,ID
48.773131,-116.524668,Boundary County,ID
43.685101,-113.177631,Butte County,ID
43.502552,-114.772135,Camas County,ID
43.625796,-116.709058,Canyon County,ID
42.786072,-111.544273,Caribou County,ID
42.282313,-113.626328,Cassia County,ID
44.290218,-112.354613,Clark County,ID
46.67257,-115.6535,Clearwater County,ID
44.273351,-114.252267,Custer County,ID
43.394698,-115.471205,Elmore County,ID
42.173609,-111.822965,Franklin County,ID
44.218091,-111.484429,Fremont County,ID
44.061473,-116.398784,Gem County,ID
42.973185,-114.82142,Gooding County,ID
45.849644,-115.467337,Idaho County,ID
43.796965,-112.318588,Jefferson County,ID
42.691395,-114.262086,Jerome County,ID
47.675966,-116.695922,Kootenai County,ID
46.81892,-116.730974,Latah County,ID
44.928506,-113.887042,Lemhi County,ID
46.236328,-116.42376,Lewis County,ID
42.986181,-114.153899,Lincoln County,ID
43.788614,-111.656993,Madison County,ID
42.857211,-113.63984,Minidoka County,ID
46.333791,-116.760909,Nez Perce County,ID
42.183895,-112.520449,Oneida County,ID
