State,County Name,Median Home Price 2017
LA,Bossier Parish,170265
LA,Caddo Parish,148882
LA,Calcasieu Parish,175572
LA,Caldwell Parish,70134
LA,Cameron Parish,117365
LA,Catahoula Parish,81409
LA,Claiborne Parish,76650
LA,Concordia Parish,81202
LA,De Soto Parish,109913
LA,East Baton Rouge Parish,199540
LA,East Carroll Parish,70547
LA,East Feliciana Parish,129513
LA,Evangeline Parish,93098
LA,Franklin Parish,86064
LA,Grant Parish,95302
LA,Iberia Parish,126820
LA,Iberville Parish,133061
LA,Jackson Parish,87305
LA,Jefferson Parish,191973
LA,Jefferson Davis Parish,105304
LA,Lafayette Parish,189276
LA,Lafourche Parish,156766
LA,LaSalle Parish,79340
LA,Lincoln Parish,150922
LA,Livingston Parish,170318
LA,Madison Parish,66306
LA,Morehouse Parish,87822
LA,Natchitoches Parish,118027
LA,Orleans Parish,237027
